epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,65.8549,2.32496,4.55397,1.43548,0.58607,0.64904,0.62399,0.27083,1.45019,51.2456,0.95458,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709
2,119.618,1.95885,2.03592,1.22862,0.48406,0.60453,0.56998,0.24075,1.44184,43.5443,0.94276,0.0197835,0.00659449,0.0197835,0.00659449,0.0197835,0.00659449,0.0197835,0.00659449
3,172.06,1.95835,1.69967,1.24008,0.64282,0.69169,0.64177,0.28008,1.44456,54.577,0.97149,0.0293876,0.00979588,0.0293876,0.00979588,0.0293876,0.00979588,0.0293876,0.00979588
4,223.783,1.94482,1.55321,1.23949,0.57909,0.67383,0.62183,0.28377,1.42671,43.8706,0.95904,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
